#,Choose a language!,Interlay 的使命是：,interBTC 是：,Kintsugi（kBTC）是：,INTR 和 KINT 是：,谁能在 Interlay 中运行金库？,interBTC 为用户提供哪些保证？,在哪里可以使用 interBTC？,Interlay's Mission is?,interBTC is?,Kintsugi is?,INTR and KINT are?,Who can run a Vault in Interlay?,What guarantees does interBTC offer to users?,Where will you be able to use interBTC?,You've finished the quiz and scored full marks!,完成测试，满分！,Start Date (UTC),Submit Date (UTC),Network ID,Tags
kv7grijjb74o8f8rqbkv7gri08ixsu0p,Chinese,以去信任化和彻底开放的方式将比特币带到任何区块链,一种与BTC 1:1锚定的无需信任的资产,Interlay 的金丝雀（先行）网络，为 Kusama 带来无需信任的跨链 BTC,Polkadot 上的 interBTC 和 Kusama 上的 kBTC 的治理代币,任何人,您可以随时使用 interBTC 1:1 赎回 BTC 或在抵押品中获得补偿,在任何区块链上，包括所有 Polkadot 平行链,,,,,,,,,5FNjkRCwyWpPZZfgHbJmD9MpfATTHKJsLJJDhNj1jBEajNxf,2021-12-21 05:59:44,2021-12-21 06:00:11,dc1138a090,
z89fsvwl76ji2u90axz89fs4odkwz8me,Chinese,以去信任化和彻底开放的方式将比特币带到任何区块链,一种与BTC 1:1锚定的无需信任的资产,Interlay 的金丝雀（先行）网络，为 Kusama 带来无需信任的跨链 BTC,Polkadot 上的 interBTC 和 Kusama 上的 kBTC 的治理代币,任何人,您可以随时使用 interBTC 1:1 赎回 BTC 或在抵押品中获得补偿,在任何区块链上，包括所有 Polkadot 平行链,,,,,,,,,5Dna1PZN2QzF9Nbd5eZ2th1Z5d5yc46J1PEmBBNzDMerrr1J,2021-12-21 05:59:10,2021-12-21 05:59:36,dc1138a090,
vgdomt5e05iql257lzvgd9x4946tnbo7,Chinese,以去信任化和彻底开放的方式将比特币带到任何区块链,一种与BTC 1:1锚定的无需信任的资产,Interlay 的金丝雀（先行）网络，为 Kusama 带来无需信任的跨链 BTC,Polkadot 上的 interBTC 和 Kusama 上的 kBTC 的治理代币,任何人,您可以随时使用 interBTC 1:1 赎回 BTC 或在抵押品中获得补偿,在任何区块链上，包括所有 Polkadot 平行链,,,,,,,,,16i8kQEYu8ShFMeEtUW3GtCHMhhWngCHJqS9i4hpX2AqZxwE,2021-12-21 05:57:12,2021-12-21 05:59:28,a04e24504f,
2x3o4tyw1vl11p9l1n2x3p6hwd34nh8i,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",13GC6tMnbs62uyhNFoNo8Rcwa4Vc4o9N9jgK4eThkbgtXPWL,,2021-12-21 05:54:05,2021-12-21 05:58:54,ce2470501f,
fyerbt23flrrbajijymqafyerbtfmg4p,Chinese,以去信任化和彻底开放的方式将比特币带到任何区块链,一种与BTC 1:1锚定的无需信任的资产,Interlay 的金丝雀（先行）网络，为 Kusama 带来无需信任的跨链 BTC,Polkadot 上的 interBTC 和 Kusama 上的 kBTC 的治理代币,任何人,您可以随时使用 interBTC 1:1 赎回 BTC 或在抵押品中获得补偿,在任何区块链上，包括所有 Polkadot 平行链,,,,,,,,,5GhKeAfHhDYdnzSvaLz5uggnjdSETY7sXFGwmPUGctdDqATm,2021-12-21 05:58:21,2021-12-21 05:58:49,dc1138a090,
gdp30zdv0522cupddhy1gjgdp30zdrc6,Chinese,以去信任化和彻底开放的方式将比特币带到任何区块链,一种与BTC 1:1锚定的无需信任的资产,Interlay 的金丝雀（先行）网络，为 Kusama 带来无需信任的跨链 BTC,Polkadot 上的 interBTC 和 Kusama 上的 kBTC 的治理代币,任何人,您可以随时使用 interBTC 1:1 赎回 BTC 或在抵押品中获得补偿,在任何区块链上，包括所有 Polkadot 平行链,,,,,,,,,12QyWAq5RPRJd5EKWt4QEYA963Wu7GsUQBU2bi5vHngQUAQj,2021-12-21 05:58:14,2021-12-21 05:58:41,0b6797b3df,
477kwb0ifh7xctw13zd477ktpm4kyv5q,Chinese,以去信任化和彻底开放的方式将比特币带到任何区块链,一种与BTC 1:1锚定的无需信任的资产,Interlay 的金丝雀（先行）网络，为 Kusama 带来无需信任的跨链 BTC,Polkadot 上的 interBTC 和 Kusama 上的 kBTC 的治理代币,任何人,您可以随时使用 interBTC 1:1 赎回 BTC 或在抵押品中获得补偿,在任何区块链上，包括所有 Polkadot 平行链,,,,,,,,,5CAyPoMZ1iDLZgUagxE1jHA8nCQHYY3jhJsfmMNgT6HuotGt,2021-12-21 05:57:47,2021-12-21 05:58:12,dc1138a090,
3yc54ovuijevqhoyss9klp3y3yc54ov4,Chinese,以去信任化和彻底开放的方式将比特币带到任何区块链,一种与BTC 1:1锚定的无需信任的资产,Interlay 的金丝雀（先行）网络，为 Kusama 带来无需信任的跨链 BTC,Polkadot 上的 interBTC 和 Kusama 上的 kBTC 的治理代币,任何人,您可以随时使用 interBTC 1:1 赎回 BTC 或在抵押品中获得补偿,在任何区块链上，包括所有 Polkadot 平行链,,,,,,,,,5GgCgmhP5GRt3nPJpYuKkByan3TBbKJzdYwtqjFnbf4nK7Cs,2021-12-21 05:57:11,2021-12-21 05:57:38,dc1138a090,
niootzqqlpgexw3pvniootvqsfek0uos,Chinese,以去信任化和彻底开放的方式将比特币带到任何区块链,一种与BTC 1:1锚定的无需信任的资产,Interlay 的金丝雀（先行）网络，为 Kusama 带来无需信任的跨链 BTC,Polkadot 上的 interBTC 和 Kusama 上的 kBTC 的治理代币,任何人,您可以随时使用 interBTC 1:1 赎回 BTC 或在抵押品中获得补偿,在任何区块链上，包括所有 Polkadot 平行链,,,,,,,,,12EATabb1AUmkp8AnwjxjqspGeRHbe1Wf4JdRvBRtYksRTBA,2021-12-21 05:56:03,2021-12-21 05:57:25,83a0a93fbf,
n4dn0lqdqaenipa0cdbfn4dnpzcp7wux,Chinese,以去信任化和彻底开放的方式将比特币带到任何区块链,一种与BTC 1:1锚定的无需信任的资产,Interlay 的金丝雀（先行）网络，为 Kusama 带来无需信任的跨链 BTC,Polkadot 上的 interBTC 和 Kusama 上的 kBTC 的治理代币,任何人,您可以随时使用 interBTC 1:1 赎回 BTC 或在抵押品中获得补偿,在任何区块链上，包括所有 Polkadot 平行链,,,,,,,,,5FkFc56DGuZJKsywbxXC16RBivPZYCq7W1EXhiz5TWjMDxTV,2021-12-21 05:56:38,2021-12-21 05:57:03,dc1138a090,
hn0w71pp9ngmkjvsr8hn0w71kwr5axx4,Chinese,以去信任化和彻底开放的方式将比特币带到任何区块链,一种与BTC 1:1锚定的无需信任的资产,Interlay 的金丝雀（先行）网络，为 Kusama 带来无需信任的跨链 BTC,Polkadot 上的 interBTC 和 Kusama 上的 kBTC 的治理代币,任何人,您可以随时使用 interBTC 1:1 赎回 BTC 或在抵押品中获得补偿,在任何区块链上，包括所有 Polkadot 平行链,,,,,,,,,5DCknZ4FX8vasBfGu1iCtquYnvgY8J7JgQc3DQFWgJ8fKhLw,2021-12-21 05:55:43,2021-12-21 05:56:45,4514aa60ed,
9k764f43lstgok2fz28d9k7634fd6je0,Chinese,以去信任化和彻底开放的方式将比特币带到任何区块链,一种与BTC 1:1锚定的无需信任的资产,Interlay 的金丝雀（先行）网络，为 Kusama 带来无需信任的跨链 BTC,Polkadot 上的 interBTC 和 Kusama 上的 kBTC 的治理代币,任何人,您可以随时使用 interBTC 1:1 赎回 BTC 或在抵押品中获得补偿,在任何区块链上，包括所有 Polkadot 平行链,,,,,,,,,14KMhzNyby7esrjMvAi5JJv7BzMpKRjYYhbTa4QaZ7DtVDXF,2021-12-21 05:55:02,2021-12-21 05:56:37,ed71feb7c3,
v675dr7a9d9re0cqv675ddw5crvyp7ic,Chinese,以去信任化和彻底开放的方式将比特币带到任何区块链,一种与BTC 1:1锚定的无需信任的资产,Interlay 的金丝雀（先行）网络，为 Kusama 带来无需信任的跨链 BTC,Polkadot 上的 interBTC 和 Kusama 上的 kBTC 的治理代币,任何人,您可以随时使用 interBTC 1:1 赎回 BTC 或在抵押品中获得补偿,在任何区块链上，包括所有 Polkadot 平行链,,,,,,,,,1248w6LNyZjgrDdo8aL1KRDMADo9tPHfDhoesJmWgBzNfKSg,2021-12-21 05:55:01,2021-12-21 05:56:29,ba8d9d3694,
hd08eht1b3fhs8fnhd0bey2z1bn51wwo,Chinese,以去信任化和彻底开放的方式将比特币带到任何区块链,一种与BTC 1:1锚定的无需信任的资产,Interlay 的金丝雀（先行）网络，为 Kusama 带来无需信任的跨链 BTC,Polkadot 上的 interBTC 和 Kusama 上的 kBTC 的治理代币,任何人,您可以随时使用 interBTC 1:1 赎回 BTC 或在抵押品中获得补偿,在任何区块链上，包括所有 Polkadot 平行链,,,,,,,,,5CMexjYTxASMtrVFKsRpFjPFP1t49T6i2uEogi2oPfWxCFUw,2021-12-21 05:56:00,2021-12-21 05:56:27,dc1138a090,
pxg655djds67f1xdrl2pxg655dhuzpwz,Chinese,以去信任化和彻底开放的方式将比特币带到任何区块链,一种与BTC 1:1锚定的无需信任的资产,Interlay 的金丝雀（先行）网络，为 Kusama 带来无需信任的跨链 BTC,Polkadot 上的 interBTC 和 Kusama 上的 kBTC 的治理代币,任何人,您可以随时使用 interBTC 1:1 赎回 BTC 或在抵押品中获得补偿,在任何区块链上，包括所有 Polkadot 平行链,,,,,,,,,158TapaZ3ypa6zQgQok3itwht83M7zZPeHgnjEiiJiriQDiJ,2021-12-21 05:55:05,2021-12-21 05:55:51,70043ee326,
s09nqn4k9mkjp6qtx0ss09nqndpkze2m,Chinese,以去信任化和彻底开放的方式将比特币带到任何区块链,一种与BTC 1:1锚定的无需信任的资产,Interlay 的金丝雀（先行）网络，为 Kusama 带来无需信任的跨链 BTC,Polkadot 上的 interBTC 和 Kusama 上的 kBTC 的治理代币,任何人,您可以随时使用 interBTC 1:1 赎回 BTC 或在抵押品中获得补偿,在任何区块链上，包括所有 Polkadot 平行链,,,,,,,,,5CMexjYTxASMtrVFKsRpFjPFP1t49T6i2uEogi2oPfWxCFUw,2021-12-21 05:55:24,2021-12-21 05:55:50,dc1138a090,
ck6uswmtxbrliibwto4frzck6e9x3nbw,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",5DXh1UxyGLXj6vJGxHdLYTGB32RV6P3Qqj2sfG7fTaQbLYGM,,2021-12-21 05:53:58,2021-12-21 05:55:39,9922035e45,
1ngh35izjf9cmsmfdsx1nghp2ukuefwm,Chinese,以去信任化和彻底开放的方式将比特币带到任何区块链,一种与BTC 1:1锚定的无需信任的资产,Interlay 的金丝雀（先行）网络，为 Kusama 带来无需信任的跨链 BTC,Polkadot 上的 interBTC 和 Kusama 上的 kBTC 的治理代币,任何人,您可以随时使用 interBTC 1:1 赎回 BTC 或在抵押品中获得补偿,在任何区块链上，包括所有 Polkadot 平行链,,,,,,,,,16VZbZD3yPtSGCfdKCRNH65JatD3cTQgSd9uEj3qRxQmXBbw,2021-12-21 05:54:36,2021-12-21 05:55:23,c02a6ffcd0,
hzyutx9el4nx0vhclrzs1cehzyutx94i,Chinese,以去信任化和彻底开放的方式将比特币带到任何区块链,一种与BTC 1:1锚定的无需信任的资产,Interlay 的金丝雀（先行）网络，为 Kusama 带来无需信任的跨链 BTC,Polkadot 上的 interBTC 和 Kusama 上的 kBTC 的治理代币,任何人,您可以随时使用 interBTC 1:1 赎回 BTC 或在抵押品中获得补偿,在任何区块链上，包括所有 Polkadot 平行链,,,,,,,,,5DtR3NGmXV4DNNsPuxrvTXH9DiKKkWt7GtTy1MyeSFSFdaMd,2021-12-21 05:54:50,2021-12-21 05:55:16,dc1138a090,
vaidf8dwf4awjs7vaicb9yyaku5hb5a9,Chinese,以去信任化和彻底开放的方式将比特币带到任何区块链,一种与BTC 1:1锚定的无需信任的资产,Interlay 的金丝雀（先行）网络，为 Kusama 带来无需信任的跨链 BTC,Polkadot 上的 interBTC 和 Kusama 上的 kBTC 的治理代币,任何人,您可以随时使用 interBTC 1:1 赎回 BTC 或在抵押品中获得补偿,在任何区块链上，包括所有 Polkadot 平行链,,,,,,,,,1nQ2MExCF54hsN73hRuqkjT2uct9dWvdFHVZ6yCwoMBX8GT,2021-12-21 05:52:56,2021-12-21 05:55:11,eca96f36dc,
vvunnnls2ut60a3g8e2vvunec2ln9mla,Chinese,以去信任化和彻底开放的方式将比特币带到任何区块链,一种与BTC 1:1锚定的无需信任的资产,Interlay 的金丝雀（先行）网络，为 Kusama 带来无需信任的跨链 BTC,Polkadot 上的 interBTC 和 Kusama 上的 kBTC 的治理代币,任何人,您可以随时使用 interBTC 1:1 赎回 BTC 或在抵押品中获得补偿,在任何区块链上，包括所有 Polkadot 平行链,,,,,,,,,5FKrvb43v9izDCttKQUKVaCHpZ5pryzGzov6dJnM6mass5EM,2021-12-21 05:54:15,2021-12-21 05:54:40,dc1138a090,
3rvrri4xvtt57uhdtkx3rvrriwj2eykx,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",14wTpZo8hwhhFKtGumt3vdZwpra7tPzWjX3hELqie5Ev24Sm,,2021-12-21 05:53:32,2021-12-21 05:54:40,98a5a4fd2f,
ew8ocegeiu6lis42ew8ocf5embcbxuwa,Chinese,以去信任化和彻底开放的方式将比特币带到任何区块链,一种与BTC 1:1锚定的无需信任的资产,Interlay 的金丝雀（先行）网络，为 Kusama 带来无需信任的跨链 BTC,Polkadot 上的 interBTC 和 Kusama 上的 kBTC 的治理代币,任何人,您可以随时使用 interBTC 1:1 赎回 BTC 或在抵押品中获得补偿,在任何区块链上，包括所有 Polkadot 平行链,,,,,,,,,5F6hxbPuvPFe3c4u93cXBE2BVTStDJb1wiD6HTfFHpj6F8Qu,2021-12-21 05:53:40,2021-12-21 05:54:06,dc1138a090,
ogr45mqr8gnxzmh86kogr45micrt6psn,Chinese,以去信任化和彻底开放的方式将比特币带到任何区块链,一种与BTC 1:1锚定的无需信任的资产,Interlay 的金丝雀（先行）网络，为 Kusama 带来无需信任的跨链 BTC,Polkadot 上的 interBTC 和 Kusama 上的 kBTC 的治理代币,任何人,您可以随时使用 interBTC 1:1 赎回 BTC 或在抵押品中获得补偿,在任何区块链上，包括所有 Polkadot 平行链,,,,,,,,,5G1AkRytxZMK5G8vpS3PMEhXg7jenfDHJNUgmU1P8azj6tXd,2021-12-21 05:52:59,2021-12-21 05:53:31,dc1138a090,
mz7cj3f82g4mxridsvmz7cj35m1l286j,Chinese,以去信任化和彻底开放的方式将比特币带到任何区块链,一种与BTC 1:1锚定的无需信任的资产,Interlay 的金丝雀（先行）网络，为 Kusama 带来无需信任的跨链 BTC,Polkadot 上的 interBTC 和 Kusama 上的 kBTC 的治理代币,任何人,您可以随时使用 interBTC 1:1 赎回 BTC 或在抵押品中获得补偿,在任何区块链上，包括所有 Polkadot 平行链,,,,,,,,,16khWsftfnUZPHrsgf8Vvdfah5qhVVkvm1vgFf2m7gNhsEj9,2021-12-21 05:52:10,2021-12-21 05:53:12,392d7033d7,
0i3cjc5354xuarzkgq0i3cte2jikrrpn,Chinese,以去信任化和彻底开放的方式将比特币带到任何区块链,一种与BTC 1:1锚定的无需信任的资产,Interlay 的金丝雀（先行）网络，为 Kusama 带来无需信任的跨链 BTC,Polkadot 上的 interBTC 和 Kusama 上的 kBTC 的治理代币,任何人,您可以随时使用 interBTC 1:1 赎回 BTC 或在抵押品中获得补偿,在任何区块链上，包括所有 Polkadot 平行链,,,,,,,,,12EATabb1AUmkp8AnwjxjqspGeRHbe1Wf4JdRvBRtYksRTBA,2021-12-21 05:49:25,2021-12-21 05:53:03,a1278ec4ac,
4acr11b98gv5nt4n4acr1gph11ua7vcc,Chinese,以去信任化和彻底开放的方式将比特币带到任何区块链,一种与BTC 1:1锚定的无需信任的资产,Interlay 的金丝雀（先行）网络，为 Kusama 带来无需信任的跨链 BTC,Polkadot 上的 interBTC 和 Kusama 上的 kBTC 的治理代币,任何人,您可以随时使用 interBTC 1:1 赎回 BTC 或在抵押品中获得补偿,在任何区块链上，包括所有 Polkadot 平行链,,,,,,,,,5HW317mj3WaYARdEgiP54yrXRkX1aikKqdZ8eXs5LLmXBKd1,2021-12-21 05:52:20,2021-12-21 05:52:53,dc1138a090,
b9578jkhyxp3ags5c0db9578jdxz33n3,Chinese,以去信任化和彻底开放的方式将比特币带到任何区块链,一种与BTC 1:1锚定的无需信任的资产,Interlay 的金丝雀（先行）网络，为 Kusama 带来无需信任的跨链 BTC,Polkadot 上的 interBTC 和 Kusama 上的 kBTC 的治理代币,任何人,您可以随时使用 interBTC 1:1 赎回 BTC 或在抵押品中获得补偿,在任何区块链上，包括所有 Polkadot 平行链,,,,,,,,,16PhpPgko67e2ca2dZFwieWNCP3DJpnfBAeoPDhJ9g9mros8,2021-12-21 05:47:37,2021-12-21 05:51:24,45e413d6b7,
3fermohro1rry8dfemlpxj3fermoh11z,Chinese,以去信任化和彻底开放的方式将比特币带到任何区块链,一种与BTC 1:1锚定的无需信任的资产,Interlay 的金丝雀（先行）网络，为 Kusama 带来无需信任的跨链 BTC,Polkadot 上的 interBTC 和 Kusama 上的 kBTC 的治理代币,任何人,您可以随时使用 interBTC 1:1 赎回 BTC 或在抵押品中获得补偿,在任何区块链上，包括所有 Polkadot 平行链,,,,,,,,,5GQTFo6fG9o8hRt3UBp7nK2auWeHUQft8kPAf3SZ2xZD6363,2021-12-21 05:50:38,2021-12-21 05:51:07,dc1138a090,
b0ox320pxn2fa458b0ox3205avnsi9jo,Chinese,以去信任化和彻底开放的方式将比特币带到任何区块链,一种与BTC 1:1锚定的无需信任的资产,Interlay 的金丝雀（先行）网络，为 Kusama 带来无需信任的跨链 BTC,Polkadot 上的 interBTC 和 Kusama 上的 kBTC 的治理代币,任何人,您可以随时使用 interBTC 1:1 赎回 BTC 或在抵押品中获得补偿,在任何区块链上，包括所有 Polkadot 平行链,,,,,,,,,5FFA4TnnZFBWpy3cF6HNHDujn2aXFaVNCkGT2kUcix4cxJ8y,2021-12-21 05:49:48,2021-12-21 05:50:16,dc1138a090,
ouwh62iyovqjhmouw0lb54nknnf8u050,Chinese,以去信任化和彻底开放的方式将比特币带到任何区块链,一种与BTC 1:1锚定的无需信任的资产,Interlay 的金丝雀（先行）网络，为 Kusama 带来无需信任的跨链 BTC,Polkadot 上的 interBTC 和 Kusama 上的 kBTC 的治理代币,任何人,您可以随时使用 interBTC 1:1 赎回 BTC 或在抵押品中获得补偿,在任何区块链上，包括所有 Polkadot 平行链,,,,,,,,,5Eq93f9irLzXs4cJenBogkRrUpj5B8K6aFZp4AQno54tYYDB,2021-12-21 05:49:14,2021-12-21 05:49:40,dc1138a090,
fsv4f7h0dql4uwk06mz8bfsv4fjy5hbm,Chinese,以去信任化和彻底开放的方式将比特币带到任何区块链,一种与BTC 1:1锚定的无需信任的资产,Interlay 的金丝雀（先行）网络，为 Kusama 带来无需信任的跨链 BTC,Polkadot 上的 interBTC 和 Kusama 上的 kBTC 的治理代币,任何人,您可以随时使用 interBTC 1:1 赎回 BTC 或在抵押品中获得补偿,在任何区块链上，包括所有 Polkadot 平行链,,,,,,,,,12ufRQhKfQ2YTJKSijmEZEGc9wJET4YzBxWdHFtWTpXSJwvV,2021-12-21 05:43:03,2021-12-21 05:49:28,8392f6c722,
2ar0h0la2vx9pktzv62ar0pxc6i3p76r,Chinese,以去信任化和彻底开放的方式将比特币带到任何区块链,一种与BTC 1:1锚定的无需信任的资产,Interlay 的金丝雀（先行）网络，为 Kusama 带来无需信任的跨链 BTC,Polkadot 上的 interBTC 和 Kusama 上的 kBTC 的治理代币,任何人,您可以随时使用 interBTC 1:1 赎回 BTC 或在抵押品中获得补偿,在任何区块链上，包括所有 Polkadot 平行链,,,,,,,,,12uKuVvMHSHHP4tiHRCwriTYzZgqpFuEi8rU4B5zro4nxEqt,2021-12-21 05:47:15,2021-12-21 05:49:10,392d7033d7,
yq352qrbpibivc335iwcyq352qthle6m,Chinese,以去信任化和彻底开放的方式将比特币带到任何区块链,一种与BTC 1:1锚定的无需信任的资产,Interlay 的金丝雀（先行）网络，为 Kusama 带来无需信任的跨链 BTC,Polkadot 上的 interBTC 和 Kusama 上的 kBTC 的治理代币,任何人,您可以随时使用 interBTC 1:1 赎回 BTC 或在抵押品中获得补偿,在任何区块链上，包括所有 Polkadot 平行链,,,,,,,,,5CdGPsC6VWrkrYvUY5kVha5xsg18sWMv5yWzj9ptNzooq9gA,2021-12-21 05:48:41,2021-12-21 05:49:08,dc1138a090,
7zay6rdbixbc7ol4v46k7zay6rdodaz8,Chinese,以去信任化和彻底开放的方式将比特币带到任何区块链,一种与BTC 1:1锚定的无需信任的资产,Interlay 的金丝雀（先行）网络，为 Kusama 带来无需信任的跨链 BTC,Polkadot 上的 interBTC 和 Kusama 上的 kBTC 的治理代币,任何人,您可以随时使用 interBTC 1:1 赎回 BTC 或在抵押品中获得补偿,在任何区块链上，包括所有 Polkadot 平行链,,,,,,,,,5CUM8wNaSGpBQbi1bc7DwgCphBgtBq5553w5WoszyM5u8rng,2021-12-21 05:47:56,2021-12-21 05:48:26,dc1138a090,
thbmpdyvvvyohh5psc4pc0uthbmpy6pk,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",1TEamNLTRqT5yArv8644mFrxJsvQmzKuhx78FzCKiCxsPCi,,2021-12-21 05:46:58,2021-12-21 05:47:56,4975c465be,
off5tf2bgcf2qsrkoffetmuyo89zakmw,Chinese,以去信任化和彻底开放的方式将比特币带到任何区块链,一种与BTC 1:1锚定的无需信任的资产,Interlay 的金丝雀（先行）网络，为 Kusama 带来无需信任的跨链 BTC,Polkadot 上的 interBTC 和 Kusama 上的 kBTC 的治理代币,任何人,您可以随时使用 interBTC 1:1 赎回 BTC 或在抵押品中获得补偿,在任何区块链上，包括所有 Polkadot 平行链,,,,,,,,,5EskJJEYFeHMSQJASBTZXENK5ZErzvhWgPMwonPaG5x1Qvw8,2021-12-21 05:47:20,2021-12-21 05:47:50,dc1138a090,
o0dxrqn5hmic6moio0dxt9ypka863j0x,Chinese,以去信任化和彻底开放的方式将比特币带到任何区块链,一种与BTC 1:1锚定的无需信任的资产,Interlay 的金丝雀（先行）网络，为 Kusama 带来无需信任的跨链 BTC,Polkadot 上的 interBTC 和 Kusama 上的 kBTC 的治理代币,任何人,您可以随时使用 interBTC 1:1 赎回 BTC 或在抵押品中获得补偿,在任何区块链上，包括所有 Polkadot 平行链,,,,,,,,,5F71dTQJM9vPgmEzhmwanF8se8eDsCAyRL86h1xjk4indNuX,2021-12-21 05:46:47,2021-12-21 05:47:14,dc1138a090,
vgtrgwaadk6b56x3j9cvgtrgwow8y5d7,Chinese,以去信任化和彻底开放的方式将比特币带到任何区块链,一种与BTC 1:1锚定的无需信任的资产,Interlay 的金丝雀（先行）网络，为 Kusama 带来无需信任的跨链 BTC,Polkadot 上的 interBTC 和 Kusama 上的 kBTC 的治理代币,任何人,您可以随时使用 interBTC 1:1 赎回 BTC 或在抵押品中获得补偿,在任何区块链上，包括所有 Polkadot 平行链,,,,,,,,,5ECkXLyzRCwE9mByobx8bRRk7f3kQLto7oPMhmCMyJ4FecEs,2021-12-21 05:46:11,2021-12-21 05:46:40,dc1138a090,
ktmxc3lq86wf8d3v2hktmxcbfswic5is,Chinese,以去信任化和彻底开放的方式将比特币带到任何区块链,一种与BTC 1:1锚定的无需信任的资产,Interlay 的金丝雀（先行）网络，为 Kusama 带来无需信任的跨链 BTC,Polkadot 上的 interBTC 和 Kusama 上的 kBTC 的治理代币,任何人,您可以随时使用 interBTC 1:1 赎回 BTC 或在抵押品中获得补偿,在任何区块链上，包括所有 Polkadot 平行链,,,,,,,,,5Ct1NiGkiZBbuRZyKahVpfK9B26Yqvmojv2GWMsPfXmyL7k7,2021-12-21 05:45:29,2021-12-21 05:45:58,dc1138a090,
mzebd8c2zpsoej17r6xmzebhkwg8x567,Chinese,以去信任化和彻底开放的方式将比特币带到任何区块链,一种与BTC 1:1锚定的无需信任的资产,Interlay 的金丝雀（先行）网络，为 Kusama 带来无需信任的跨链 BTC,Polkadot 上的 interBTC 和 Kusama 上的 kBTC 的治理代币,任何人,您可以随时使用 interBTC 1:1 赎回 BTC 或在抵押品中获得补偿,在任何区块链上，包括所有 Polkadot 平行链,,,,,,,,,5ChUqPDLiCw5XiaCWtTbtsXXCJeW3SMSEzjyhgnCpxuKHwiA,2021-12-21 05:44:42,2021-12-21 05:45:18,dc1138a090,
0f71lyyol9vo6wn0f71jrt73q19cqkfw,Chinese,以去信任化和彻底开放的方式将比特币带到任何区块链,一种与BTC 1:1锚定的无需信任的资产,Interlay 的金丝雀（先行）网络，为 Kusama 带来无需信任的跨链 BTC,Polkadot 上的 interBTC 和 Kusama 上的 kBTC 的治理代币,任何人,您可以随时使用 interBTC 1:1 赎回 BTC 或在抵押品中获得补偿,在任何区块链上，包括所有 Polkadot 平行链,,,,,,,,,5DccZjch4DhNrphRASRXb9H6r9Mzsy6Nimq4uA3CQvJnVq1n,2021-12-21 05:43:09,2021-12-21 05:44:02,dc1138a090,
a8qbdtw56rsp6afhh75a8qbdtwzozoba,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",14zK5umT3rn6LtmvXMXbFGDUS6HBVEdkRv5CLyPBBo3NjTcY,,2021-12-21 05:40:54,2021-12-21 05:42:08,d573378f2b,
4j2giyd5rm033z4j2giyc3yw017v743m,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",155caQcGANJ4oK8Kc4cykpWicbkZNM37JDUXYAJW6RfAEYUE,,2021-12-21 05:23:26,2021-12-21 05:40:55,769742b0d6,
zuiyr9zra56kzuicg6i79t59cbioh9fc,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",,,2021-12-21 05:32:41,2021-12-21 05:39:09,d573378f2b,
